is_target_candidate,coverage_signature,evidence_state,resolutions
no,10000000,NoComparableContext,9557
no,10001000,LocalMismatch,2105
no,10001000,ObservedSupport,415
no,10001100,AmbiguousEvidence,89
no,10001100,LocalMismatch,1249
no,10001100,ObservedSupport,261
no,10100000,LocalMismatch,1839
no,10100000,ObservedSupport,417
no,10101000,AmbiguousEvidence,345
no,10101000,LocalMismatch,954
no,10101000,ObservedSupport,93
no,10101100,AmbiguousEvidence,298
no,10101100,LocalMismatch,557
no,10101100,ObservedSupport,41
no,10110000,AmbiguousEvidence,55
no,10110000,LocalMismatch,822
no,10110000,ObservedSupport,155
no,10111000,AmbiguousEvidence,163
no,10111000,LocalMismatch,361
no,10111000,ObservedSupport,19
no,10111100,AmbiguousEvidence,488
no,10111100,LocalMismatch,714
no,10111110,AmbiguousEvidence,186
no,10111110,LocalMismatch,330
no,10111110,ObservedSupport,46
no,11000000,LocalMismatch,13662
no,11000000,ObservedSupport,8923
no,11001000,AmbiguousEvidence,4836
no,11001000,LocalMismatch,5821
no,11001000,ObservedSupport,1242
no,11001100,AmbiguousEvidence,6137
no,11001100,LocalMismatch,4139
no,11001100,ObservedSupport,1326
no,11100000,AmbiguousEvidence,5251
no,11100000,LocalMismatch,6125
no,11100000,ObservedSupport,1351
no,11101000,AmbiguousEvidence,12003
no,11101000,LocalMismatch,7793
no,11101000,ObservedSupport,1233
no,11101100,AmbiguousEvidence,10908
no,11101100,LocalMismatch,4542
no,11101100,ObservedSupport,606
no,11110000,AmbiguousEvidence,5663
no,11110000,LocalMismatch,3939
no,11110000,ObservedSupport,1352
no,11111000,AmbiguousEvidence,10139
no,11111000,LocalMismatch,3541
no,11111000,ObservedSupport,627
no,11111100,AmbiguousEvidence,26242
no,11111100,LocalMismatch,6005
no,11111110,AmbiguousEvidence,1712
no,11111110,LocalMismatch,1701
no,11111111,AmbiguousEvidence,24366
no,11111111,LocalMismatch,4450
no,11111111,ObservedSupport,1648
yes,00000000,NoComparableContext,764
yes,10000000,NoComparableContext,2502
yes,10001000,LocalMismatch,275
yes,10001000,ObservedSupport,128
yes,10001100,AmbiguousEvidence,11
yes,10001100,LocalMismatch,166
yes,10001100,ObservedSupport,99
yes,10100000,LocalMismatch,284
yes,10100000,ObservedSupport,73
yes,10101000,AmbiguousEvidence,47
yes,10101000,LocalMismatch,91
yes,10101000,ObservedSupport,52
yes,10101100,AmbiguousEvidence,49
yes,10101100,LocalMismatch,52
yes,10101100,ObservedSupport,38
yes,10110000,AmbiguousEvidence,7
yes,10110000,LocalMismatch,117
yes,10110000,ObservedSupport,53
yes,10111000,AmbiguousEvidence,30
yes,10111000,LocalMismatch,33
yes,10111000,ObservedSupport,6
yes,10111100,AmbiguousEvidence,108
yes,10111100,LocalMismatch,38
yes,10111110,AmbiguousEvidence,22
yes,10111110,LocalMismatch,20
yes,10111110,ObservedSupport,36
yes,11000000,LocalMismatch,1502
yes,11000000,ObservedSupport,2742
yes,11001000,AmbiguousEvidence,689
yes,11001000,LocalMismatch,340
yes,11001000,ObservedSupport,966
yes,11001100,AmbiguousEvidence,742
yes,11001100,LocalMismatch,164
yes,11001100,ObservedSupport,1231
yes,11100000,AmbiguousEvidence,736
yes,11100000,LocalMismatch,320
yes,11100000,ObservedSupport,980
yes,11101000,AmbiguousEvidence,1544
yes,11101000,LocalMismatch,213
yes,11101000,ObservedSupport,1457
yes,11101100,AmbiguousEvidence,1387
yes,11101100,LocalMismatch,84
yes,11101100,ObservedSupport,1433
yes,11110000,AmbiguousEvidence,666
yes,11110000,LocalMismatch,165
yes,11110000,ObservedSupport,1286
yes,11111000,AmbiguousEvidence,1304
yes,11111000,LocalMismatch,58
yes,11111000,ObservedSupport,1407
yes,11111100,AmbiguousEvidence,6479
yes,11111100,LocalMismatch,70
yes,11111110,AmbiguousEvidence,397
yes,11111110,LocalMismatch,17
yes,11111111,AmbiguousEvidence,913
yes,11111111,LocalMismatch,12
yes,11111111,ObservedSupport,5955
