is_target_candidate,target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,coverage_signature,evidence_state,resolutions
no,LongNoteHead,2,1,absent,1,0,10000000,NoComparableContext,1
no,LongNoteHead,2,1,absent,10,1,11000000,LocalMismatch,21
no,LongNoteHead,2,1,absent,10,1,11000000,ObservedSupport,33
no,LongNoteHead,2,1,absent,10,2,11001000,AmbiguousEvidence,14
no,LongNoteHead,2,1,absent,10,2,11001000,LocalMismatch,10
no,LongNoteHead,2,1,absent,10,2,11001000,ObservedSupport,3
no,LongNoteHead,2,1,absent,10,2,11100000,AmbiguousEvidence,8
no,LongNoteHead,2,1,absent,10,2,11100000,LocalMismatch,7
no,LongNoteHead,2,1,absent,10,2,11100000,ObservedSupport,3
no,LongNoteHead,2,1,absent,10,3,11001100,AmbiguousEvidence,13
no,LongNoteHead,2,1,absent,10,3,11001100,LocalMismatch,10
no,LongNoteHead,2,1,absent,10,3,11001100,ObservedSupport,4
no,LongNoteHead,2,1,absent,10,3,11101000,AmbiguousEvidence,27
no,LongNoteHead,2,1,absent,10,3,11101000,LocalMismatch,13
no,LongNoteHead,2,1,absent,10,3,11101000,ObservedSupport,5
no,LongNoteHead,2,1,absent,10,3,11110000,AmbiguousEvidence,4
no,LongNoteHead,2,1,absent,10,3,11110000,LocalMismatch,4
no,LongNoteHead,2,1,absent,10,3,11110000,ObservedSupport,1
no,LongNoteHead,2,1,absent,10,5,11111100,AmbiguousEvidence,39
no,LongNoteHead,2,1,absent,10,5,11111100,LocalMismatch,16
no,LongNoteHead,2,1,absent,11,1,11000000,LocalMismatch,37
no,LongNoteHead,2,1,absent,11,1,11000000,ObservedSupport,124
no,LongNoteHead,2,1,absent,11,2,11001000,AmbiguousEvidence,18
no,LongNoteHead,2,1,absent,11,2,11001000,LocalMismatch,7
no,LongNoteHead,2,1,absent,11,2,11001000,ObservedSupport,15
no,LongNoteHead,2,1,absent,11,2,11100000,AmbiguousEvidence,26
no,LongNoteHead,2,1,absent,11,2,11100000,LocalMismatch,11
no,LongNoteHead,2,1,absent,11,2,11100000,ObservedSupport,3
no,LongNoteHead,2,1,absent,11,3,11001100,AmbiguousEvidence,69
