path,classification,included_in_implementation_snapshot,justification
src/ManiaAddNotesLab.Core/AddNotesEngine.cs,BehavioralAuthority,true,"Treatment insertion, authority selection and real commit path."
src/ManiaAddNotesLab.Core/LaneGeometryIndex.cs,BehavioralAuthority,true,"Collision predicates and mutable governing geometry."
src/ManiaAddNotesLab.Core/SafetyRemediationGateResearch.cs,BehavioralAuthority,true,"CanonicalPlayableGeometry and frozen runtime configuration."
src/ManiaAddNotesLab.Core/BeatTimeline.cs,SharedRuntimeDependency,true,"Integer-ms to beat projection and timing boundaries."
src/ManiaAddNotesLab.Core/ChartAnalysis.cs,SharedRuntimeDependency,true,"Timed source objects used to seed both geometries."
src/ManiaAddNotesLab.Core/Model.cs,SharedRuntimeDependency,true,"Durable object/result representation."
src/ManiaAddNotesLab.Core/OsuBeatmap.cs,SharedRuntimeDependency,true,"The durable integer coordinates serialized and reparsed by the claim."
src/ManiaAddNotesLab.Core/GenerationProvenanceResearch.cs,InstrumentationOnly,false,"Defines GenerationState semantics but cannot decide placement."
src/ManiaAddNotesLab.Core/GeometrySafetyAttributionResearch.cs,InstrumentationOnly,false,"Independent HardValidity oracle only."
src/ManiaAddNotesLab.Core/SafetyRemediationGateHardeningResearch.cs,InstrumentationOnly,false,"Causal recertification model; frozen separately by harness snapshot."
tools/ManiaAddNotesLab.Experiments/SafetyRemediationGateHardeningRunner.cs,CertificationOnly,false,"Executes the frozen matrix; frozen separately by harness snapshot."
tests/ManiaAddNotesLab.Tests/PhaseSafetyRemediationGateTests.cs,CertificationOnly,false,"End-to-end full-versus-streaming trace equivalence; frozen separately by harness snapshot."
tests/ManiaAddNotesLab.Tests/PhaseSafetyRemediationGateHardeningTests.cs,CertificationOnly,false,"Adversarial and cached-versus-uncached equivalence controls; frozen separately by harness snapshot."
docs/PHASE_SAFETY_REMEDIATION_GATE.md,DocumentationOnly,false,"Historical report; never executable."
