audit,value
"base_opportunities","one per original head; simultaneous original heads create sequential proposals"
"interior_opportunities","zero to two per eligible original LN; anchors can share timestamps with other opportunities"
"synthetic_recursion","none; opportunity list is frozen before placement"
"current_geometry","original objects plus previously accepted pass-1 objects"
"maximum_added_heads_at_timestamp","min(free lanes under current geometry, otherwise successful legal opportunities at the timestamp)"
"legacy_timestamp_cap","none beyond physical lanes and available opportunities"
"k3_structurally_possible","true; e.g. three simultaneous original heads in 7K provide three base opportunities and four initially free lanes"
"human_k3_frequency_audited","false; not required for contract coherence and prohibited as opportunistic style tuning"
"d1_v1_transition","already-added cardinality 1 to prospective cardinality 2 only"
"k0_to_k1","legacy unchanged"
"k2_to_k3_or_higher","legacy unchanged and outside D1 v1 scope"
"hidden_cap","none"
"later_opportunity_after_abstention","allowed only as the next pre-existing OpportunityKey; never a D1-triggered reroll"
"interpretability","direct gate decisions remain attributable; later geometry/output/RNG changes are downstream consequences"
"future_hold_signal","if k3 interactions dominate the paired A/B, classify future D1 Outcome B; do not retrofit a cap"
